[2025-10-30 10:18:25] [INFO] ================================================================================
[2025-10-30 10:18:25] [INFO] Complete Bible Extraction Started (Audio + Text + Versions)
[2025-10-30 10:18:25] [INFO] ================================================================================
[2025-10-30 10:18:25] [INFO] Scanning: C:\Users\SamYar\Desktop\Bible\www.bible.com\fa\bible
[2025-10-30 10:18:25] [INFO] Processing version: 118
[2025-10-30 10:18:25] [INFO] ✓ Found version: هزارۀ نو (nmv)
[2025-10-30 10:19:35] [INFO] ✓ AMO 9 (nmv): 15 verses
[2025-10-30 10:19:35] [INFO] ✓ COL 1 (nmv): 29 verses
[2025-10-30 10:19:36] [INFO] ✓ COL 2 (nmv): 23 verses
[2025-10-30 10:19:36] [INFO] ✓ COL 3 (nmv): 25 verses
[2025-10-30 10:19:36] [INFO] ✓ COL 4 (nmv): 18 verses
[2025-10-30 10:19:36] [INFO] ✓ DAN 1 (nmv): 21 verses
[2025-10-30 10:19:37] [INFO] ✓ DAN 10 (nmv): 21 verses
[2025-10-30 10:19:37] [INFO] ✓ DAN 11 (nmv): 45 verses
[2025-10-30 10:19:37] [INFO] ✓ DAN 12 (nmv): 13 verses
[2025-10-30 10:19:37] [INFO] ✓ DAN 2 (nmv): 49 verses
[2025-10-30 10:19:38] [INFO] ✓ DAN 3 (nmv): 30 verses
[2025-10-30 10:19:38] [INFO] ✓ DAN 4 (nmv): 37 verses
[2025-10-30 10:19:38] [INFO] ✓ DAN 5 (nmv): 31 verses
[2025-10-30 10:19:38] [INFO] ✓ DAN 6 (nmv): 28 verses
[2025-10-30 10:19:39] [INFO] ✓ DAN 7 (nmv): 28 verses
[2025-10-30 10:19:39] [INFO] ✓ DAN 8 (nmv): 27 verses
[2025-10-30 10:19:39] [INFO] ✓ DAN 9 (nmv): 27 verses
[2025-10-30 10:19:39] [INFO] ✓ DEU 1 (nmv): 46 verses
[2025-10-30 10:19:40] [INFO] ✓ DEU 10 (nmv): 22 verses
[2025-10-30 10:19:40] [INFO] ✓ DEU 11 (nmv): 32 verses
[2025-10-30 10:19:40] [INFO] ✓ DEU 12 (nmv): 32 verses
[2025-10-30 10:19:40] [INFO] ✓ DEU 13 (nmv): 18 verses
[2025-10-30 10:19:41] [INFO] ✓ DEU 14 (nmv): 29 verses
[2025-10-30 10:19:41] [INFO] ✓ DEU 15 (nmv): 23 verses
[2025-10-30 10:19:41] [INFO] ✓ DEU 16 (nmv): 22 verses
[2025-10-30 10:19:41] [INFO] ✓ DEU 17 (nmv): 20 verses
[2025-10-30 10:19:42] [INFO] ✓ DEU 18 (nmv): 22 verses
[2025-10-30 10:19:42] [INFO] ✓ DEU 19 (nmv): 21 verses
[2025-10-30 10:19:42] [INFO] ✓ DEU 2 (nmv): 37 verses
[2025-10-30 10:19:42] [INFO] ✓ DEU 20 (nmv): 20 verses
[2025-10-30 10:19:42] [INFO] ✓ DEU 21 (nmv): 23 verses
[2025-10-30 10:19:43] [INFO] ✓ DEU 22 (nmv): 30 verses
[2025-10-30 10:19:43] [INFO] ✓ DEU 23 (nmv): 25 verses
[2025-10-30 10:19:43] [INFO] ✓ DEU 24 (nmv): 22 verses
[2025-10-30 10:19:44] [INFO] ✓ DEU 25 (nmv): 19 verses
[2025-10-30 10:19:44] [INFO] ✓ DEU 26 (nmv): 19 verses
[2025-10-30 10:19:44] [INFO] ✓ DEU 27 (nmv): 26 verses
[2025-10-30 10:19:44] [INFO] ✓ DEU 28 (nmv): 68 verses
[2025-10-30 10:19:45] [INFO] ✓ DEU 29 (nmv): 29 verses
[2025-10-30 10:19:45] [INFO] ✓ DEU 3 (nmv): 29 verses
[2025-10-30 10:19:45] [INFO] ✓ DEU 30 (nmv): 20 verses
[2025-10-30 10:19:45] [INFO] ✓ DEU 31 (nmv): 30 verses
[2025-10-30 10:19:46] [INFO] ✓ DEU 32 (nmv): 52 verses
[2025-10-30 10:19:46] [INFO] ✓ DEU 33 (nmv): 29 verses
[2025-10-30 10:19:46] [INFO] ✓ DEU 34 (nmv): 12 verses
[2025-10-30 10:19:46] [INFO] ✓ DEU 4 (nmv): 49 verses
[2025-10-30 10:19:47] [INFO] ✓ DEU 5 (nmv): 33 verses
[2025-10-30 10:19:47] [INFO] ✓ DEU 6 (nmv): 25 verses
[2025-10-30 10:19:47] [INFO] ✓ DEU 7 (nmv): 26 verses
[2025-10-30 10:19:47] [INFO] ✓ DEU 8 (nmv): 20 verses
[2025-10-30 10:19:48] [INFO] ✓ DEU 9 (nmv): 29 verses
[2025-10-30 10:19:48] [INFO] ✓ ECC 1 (nmv): 18 verses
[2025-10-30 10:19:48] [INFO] ✓ ECC 10 (nmv): 20 verses
[2025-10-30 10:19:48] [INFO] ✓ ECC 11 (nmv): 10 verses
[2025-10-30 10:19:48] [INFO] ✓ ECC 12 (nmv): 14 verses
[2025-10-30 10:19:49] [INFO] ✓ ECC 2 (nmv): 26 verses
[2025-10-30 10:19:49] [INFO] ✓ ECC 3 (nmv): 22 verses
[2025-10-30 10:19:49] [INFO] ✓ ECC 4 (nmv): 16 verses
[2025-10-30 10:19:49] [INFO] ✓ ECC 5 (nmv): 20 verses
[2025-10-30 10:19:50] [INFO] ✓ ECC 6 (nmv): 12 verses
[2025-10-30 10:19:50] [INFO] ✓ ECC 7 (nmv): 29 verses
[2025-10-30 10:19:50] [INFO] ✓ ECC 8 (nmv): 17 verses
